Device Name,Device ID
Probe Device,40

Sensor Name,Sensor ID
Core Health,1002
Probe Health,1003
System Health,1001
WMI UTC Time,9447
SNMP System Uptime,10731
Dell System Health TP-PRTG-101-100,10730
Physical Disk 0:1:0,10727
Physical Disk 0:1:1,10729
Physical Disk 0:1:2,10728
Core Health (Autonomous),1026
Probe Health,2079
System Health,2078
WMI UTC Time,3577
Syslog Receiver,3022
Uptime,3007
CPU Utilization,4772
Memory Free,4777
Thermal Detector 1,4785
Thermal Detector 2,4790
Fan 1 speed,4798
Fan 2 speed,4804
Fan 3 speed,4809
TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],7940
Eth-1/15_JIO_ILL_2G_CKT_ID_9336024697_778740107172,9984
Syslog Receiver,3545
Uptime,3575
CPU Utilization,4773
Memory Free,4778
Thermal Detector 1,4786
Thermal Detector 2,4791
Fan 1 speed,4800
Fan 2 speed,4805
Fan 3 speed,4810
Eth1/16_GW-182.78.48.9_AIRTEL_to 0/0/0/5_100.64.88.10_CKT_ID-230621100032262,7943
(001) sfp-sfpplus1-TATA Traffic,11142
(002) sfp-sfpplus2-AIRTEL Traffic,11143
(003) sfp-sfpplus3-JIO Traffic,11144
(004) sfp-sfpplus4 Traffic,11145
(005) sfp-sfpplus5 Traffic,11146
(006) sfp-sfpplus6 Traffic,11147
Syslog Receiver,11148
Uptime,11149
SNMP CPU Load,11150
Disk Free: system disk,11151
Memory: main memory,11152
(001) sfp-sfpplus1-TATA Traffic,11153
(002) sfp-sfpplus2-AIRTEL Traffic,11154
(003) sfp-sfpplus3-JIO Traffic,11155
(004) sfp-sfpplus4 Traffic,11156
(005) sfp-sfpplus5 Traffic,11157
(006) sfp-sfpplus6 Traffic,11158
Uptime,11159
CPU Load,11161
Disk Free: system disk,11162
Memory: main memory,11163
Syslog Receiver,11164
Uptime,9929
(001) BKC_TCL_121.241.40.250_Traffic,9930
(031) WAN_Bridge Traffic,9931
(005) RAGHUNANDAN 121.241.40.254 Traffic,10079
Syslog Receiver,10086
CPU,10901
Memory: main memory,10902
(006) EASTINDIA 121.241.40.253 Traffic,10917
(007) KIFS 121.241.40.252 Traffic,10918
(008) AFFILIANCE 121.241.40.251 Traffic,10919
CPU,10113
Memory,10116
Disk Free,10114
Uptime,10104
Loopback: 10.10.223.1,11015
Mgmt: 192.168.101.223 Eth-13_to_???????,11014
TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],10108
Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,10109
Jio-115.243.72.4 SFP+_03 _to_ 192.168.101.24x_Eth-?,10110
OSPF: 172.16.15.223 Eth-3 to MT-224_Eth-3: 172.16.15.224,10947
Syslog Receiver,10694
Uptime,10118
Mgmt: 192.168.101.224 Eth-13_to_???????,10119
Loopback: 10.10.224.1,10125
TCL-14.143.129.181 SFP+_01 _to_ 192.168.101.24x_Eth-?,10120
Airtel-182.78.48.13 SFP+_02 _to_ 192.168.101.24x_Eth-?,10121
Jio-115.243.72.5 SFP+_03 _to_ 192.168.101.24x_Eth-?,10122
CPU Load,10129
Disk Free: system disk,10127
Memory: main memory,10133
Syslog Receiver,10695
OSPF: 172.16.15.224 Eth-3 to MT-224_Eth-3: 172.16.15.223,10948
Uptime,10128
(003) ether1_to_MT-223-eth1 Traffic,10131
Eth-2_to_MT-224-Eth-1,10132
(008) ether6_to_101.250_gi23 Traffic,10134
Disk Free: system disk,10141
CPU Load,10146
Memory: main memory,10152
Syslog Receiver,10696
SFP+_4_to_MT-223_SFP+_4,10940
Eth-5_to_MT-226_Eth-5,10949
Uptime,10140
(003) ether1_to_MT-223_eth2 Traffic,10142
(004) ether2_to_MT-224_eth2 Traffic,10143
(008) ether6_to_101.250_gi24 Traffic,10144
Disk Free: system disk,10153
CPU Load,10154
Memory: main memory,10155
Syslog Receiver,10697
Eth-5_to_MT-225_Eth-5,10952
(005) sfp-sfpplus4 Traffic,10955
Uptime,5166
CPU Load,5190
Syslog Receiver,5199
System Health CPU,6651
System Health Fans,6653
System Health Memory,6655
